Date,ID,Treatment,Tube ID,Initial mass (g),Final mass (g),Dry mass (g),Mass loss (g),Mass loss (mg),Mass loss proportion,Survived assay?,All bees per tube survived?,S1,S2,S3,S4,S5,S6,S7,S8,S9,Prop. Active
6/26/23,1,Singleton,A,0.054,0.051,NA,0.003,3,0.05555556,yes,yes,I,I,I,I,I,I,I,I,I,0
6/26/23,2,Singleton,B,0.041,0.037,NA,0.004,4,0.09756098,yes,yes,I,I,I,I,I,I,I,I,I,0
6/26/23,4,Singleton,D,0.048,0.046,NA,0.002,2,0.04166667,yes,yes,I,I,I,I,W,I,W,W,W,0.44444444
6/26/23,5,Singleton,E,0.044,0.042,NA,0.002,2,0.04545455,yes,yes,W,I,I,I,I,I,I,I,I,0.11111111
6/26/23,6,Singleton,F,0.049,0.045,NA,0.004,4,0.08163265,yes,yes,W,I,I,I,I,I,W,W,W,0.44444444
6/26/23,8,Singleton,H,0.056,0.054,NA,0.002,2,0.03571429,yes,yes,I,I,I,I,I,I,I,I,I,0
6/27/23,18,Paired,N,0.031,0.029,NA,0.002,2,0.06451613,yes,no,I,I,SG,I,W,I,W,I,I,0.22222222
6/27/23,19,Paired,N,0.04,0.036,NA,0.004,4,0.1,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/27/23,20,Paired,O,0.054,0.051,NA,0.003,3,0.05555556,yes,yes,W,I,I,I,I,I,I,I,I,0.11111111
6/27/23,21,Paired,O,0.047,0.046,NA,0.001,1,0.0212766,yes,yes,I,I,I,I,I,I,I,I,I,0
6/27/23,22,Paired,P,0.038,0.037,NA,0.001,1,0.02631579,yes,yes,I,I,I,I,I,I,I,I,I,0
6/27/23,23,Paired,P,0.042,0.04,NA,0.002,2,0.04761905,yes,yes,I,I,I,I,I,I,I,I,I,0
6/27/23,24,Paired,Q,0.042,0.04,NA,0.002,2,0.04761905,yes,no,I,I,I,I,I,I,I,I,I,0
6/27/23,25,Paired,Q,0.035,0.035,NA,0,0,0,no,no,,,,,,,,,,NA
6/27/23,26,Paired,R,0.052,0.049,NA,0.003,3,0.05769231,yes,no,W,W,I,I,I,I,I,I,W,0.33333333
6/27/23,27,Paired,R,0.043,0.04,NA,0.003,3,0.06976744,no,no,,,,,,,,,,NA
6/28/23,31,Paired,V,0.043,0.041,NA,0.002,2,0.04651163,yes,no,W,I,I,W,I,I,I,W,W,0.44444444
6/28/23,32,Paired,V,0.044,0.041,NA,0.003,3,0.06818182,no,no,I,I,I,I,I,I,I,I,I,0
6/28/23,33,Paired,W,0.039,0.038,NA,0.001,1,0.02564103,yes,yes,W,I,I,I,I,I,I,W,I,0.22222222
6/28/23,34,Paired,W,0.045,0.042,NA,0.003,3,0.06666667,yes,yes,I,I,I,I,I,I,I,I,I,0
6/28/23,35,Paired,X,0.04,0.04,NA,0,0,0,yes,yes,I,I,I,I,I,I,I,I,I,0
6/28/23,36,Paired,X,0.034,0.032,NA,0.002,2,0.05882353,yes,yes,I,I,I,I,I,I,I,I,I,0
6/28/23,37,Paired,Y,0.038,0.035,NA,0.003,3,0.07894737,yes,yes,I,I,I,I,I,I,W,W,I,0.22222222
6/28/23,38,Paired,Y,0.051,0.048,NA,0.003,3,0.05882353,yes,yes,I,I,I,I,I,I,I,W,I,0.11111111
6/28/23,39,Singleton,Z,0.041,0.038,NA,0.003,3,0.07317073,yes,yes,I,I,I,I,I,I,I,I,I,0
6/28/23,40,Singleton,AA,0.051,0.05,NA,0.001,1,0.01960784,yes,yes,I,I,I,I,I,I,I,W,I,0.11111111
6/28/23,41,Singleton,BB,0.049,0.047,NA,0.002,2,0.04081633,yes,yes,I,I,I,I,I,I,I,I,I,0
6/28/23,44,Singleton,EE,0.06,0.058,NA,0.002,2,0.03333333,yes,yes,W,I,I,I,I,I,I,I,I,0.11111111
6/30/23,45,Singleton,FF,0.047,0.045,NA,0.002,2,0.04255319,yes,yes,I,I,I,I,I,I,I,I,I,0
6/30/23,46,Singleton,GG,0.054,0.052,NA,0.002,2,0.03703704,yes,yes,I,I,I,I,I,I,I,I,I,0
6/30/23,47,Singleton,HH,0.037,0.035,NA,0.002,2,0.05405405,yes,yes,I,I,I,I,I,I,I,I,I,0
6/30/23,48,Singleton,II,0.044,0.041,NA,0.003,3,0.06818182,yes,yes,I,I,I,I,I,I,W,I,I,0.11111111
6/30/23,49,Singleton,JJ,0.065,0.06,NA,0.005,5,0.07692308,yes,yes,I,I,I,I,I,I,I,I,I,0
6/30/23,50,Singleton,KK,0.048,0.045,NA,0.003,3,0.0625,yes,yes,I,I,I,I,I,I,I,I,I,0
6/30/23,51,Singleton,LL,0.06,0.056,NA,0.004,4,0.06666667,yes,yes,I,W,I,I,I,I,I,I,I,0.11111111
6/30/23,52,Singleton,MM,0.052,0.05,NA,0.002,2,0.03846154,yes,yes,I,I,I,I,I,I,I,I,I,0
6/30/23,53,Singleton,NN,0.04,0.037,NA,0.003,3,0.075,yes,yes,I,I,I,I,I,I,I,I,I,0
6/30/23,54,Paired,OO,0.057,0.055,NA,0.002,2,0.03508772,yes,yes,I,I,I,I,I,I,I,I,I,0
6/30/23,55,Paired,OO,0.044,0.043,NA,0.001,1,0.02272727,yes,yes,I,I,I,I,I,I,I,I,I,0
6/30/23,56,Paired,PP,0.047,0.045,NA,0.002,2,0.04255319,yes,yes,I,I,I,I,I,I,W,W,I,0.22222222
6/30/23,57,Paired,PP,0.046,0.044,NA,0.002,2,0.04347826,yes,yes,I,I,I,I,I,I,W,W,I,0.22222222
6/30/23,58,Paired,QQ,0.043,0.041,NA,0.002,2,0.04651163,yes,no,I,I,I,I,W,I,I,I,I,0.11111111
6/30/23,59,Paired,QQ,0.045,0.04,NA,0.005,5,0.11111111,no,no,I,I,I,I,I,I,I,I,I,0
6/30/23,60,Singleton,RR,0.037,0.034,NA,0.003,3,0.08108108,yes,yes,I,I,I,I,I,I,I,I,I,0
7/3/23,61,Singleton,SS,0.052,0.05,NA,0.002,2,0.03846154,yes,yes,I,I,I,I,I,I,I,I,I,0
7/3/23,62,Singleton,TT,0.045,0.044,NA,0.001,1,0.02222222,yes,yes,I,I,I,I,I,I,I,I,I,0
7/3/23,63,Singleton,UU,0.056,0.053,NA,0.003,3,0.05357143,yes,yes,I,I,I,I,I,I,I,I,I,0
7/3/23,64,Paired,VV,0.054,0.053,NA,0.001,1,0.01851852,yes,yes,W,I,I,W,I,I,W,I,I,0.33333333
7/3/23,65,Paired,VV,0.043,0.041,NA,0.002,2,0.04651163,yes,yes,W,I,I,W,W,I,I,W,W,0.55555556
7/3/23,66,Paired,WW,0.044,0.042,NA,0.002,2,0.04545455,yes,no,W,W,I,I,I,I,I,I,I,0.22222222
7/3/23,67,Paired,WW,0.04,0.037,NA,0.003,3,0.075,no,no,W,W,I,I,I,I,I,I,I,0.22222222
7/3/23,68,Paired,XX,0.047,0.045,NA,0.002,2,0.04255319,yes,yes,W,W,I,I,I,I,I,I,I,0.22222222
7/3/23,69,Paired,XX,0.057,0.056,NA,0.001,1,0.01754386,yes,yes,I,I,I,I,I,I,I,I,I,0
7/7/23,70,Paired,YY,0.048,0.046,NA,0.002,2,0.04166667,yes,yes,I,I,I,I,I,I,I,I,I,0
7/7/23,71,Paired,YY,0.051,0.05,NA,0.001,1,0.01960784,yes,yes,I,I,I,I,I,I,I,I,I,0
7/7/23,72,Paired,ZZ,0.044,0.042,NA,0.002,2,0.04545455,yes,yes,I,I,I,I,I,I,I,I,I,0
7/7/23,73,Paired,ZZ,0.05,0.048,NA,0.002,2,0.04,yes,yes,I,I,I,I,I,I,I,I,I,0
7/7/23,74,Paired,AAA,0.054,0.052,NA,0.002,2,0.03703704,yes,yes,I,I,I,I,I,I,I,I,I,0
7/7/23,75,Paired,AAA,0.048,0.048,NA,0,0,0,yes,yes,I,I,I,I,I,I,I,I,I,0
7/7/23,76,Singleton,BBB,0.044,0.042,NA,0.002,2,0.04545455,yes,yes,I,I,I,I,I,I,I,I,I,0
7/7/23,77,Singleton,CCC,0.04,0.039,NA,0.001,1,0.025,yes,yes,W,I,I,I,I,I,I,I,I,0
7/7/23,78,Singleton,DDD,0.043,0.041,NA,0.002,2,0.04651163,yes,yes,I,I,I,I,I,I,I,I,I,0
7/10/23,79,Paired,EEE,0.039,0.038,NA,0.001,1,0.02564103,no,no,I,I,I,I,I,I,I,I,I,0
7/10/23,80,Paired,EEE,0.046,0.043,NA,0.003,3,0.06521739,yes,no,W,I,I,I,I,I,I,I,I,0.11111111
7/10/23,81,Paired,FFF,0.038,0.036,NA,0.002,2,0.05263158,yes,yes,I,W,I,I,I,I,I,I,I,0.11111111
7/10/23,82,Paired,FFF,0.043,0.039,NA,0.004,4,0.09302326,yes,yes,I,W,I,I,I,I,W,I,I,0.22222222
7/10/23,83,Singleton,GGG,0.05,0.047,NA,0.003,3,0.06,yes,yes,W,I,I,I,I,I,I,I,I,0.11111111
7/11/23,84,Paired,HHH,0.04,0.037,0.015,0.003,3,0.075,yes,yes,I,W,I,W,I,W,I,W,W,0.55555556
7/11/23,85,Paired,HHH,0.044,0.041,0.016,0.003,3,0.06818182,yes,yes,I,W,I,W,W,W,W,I,I,0.55555556
7/11/23,86,Singleton,III,0.043,0.041,0.015,0.002,2,0.04651163,yes,yes,I,I,I,I,I,I,I,I,I,0
7/11/23,87,Singleton,JJJ,0.043,0.042,0.015,0.001,1,0.02325581,yes,yes,I,I,I,I,I,I,I,I,I,0
7/11/23,88,Singleton,KKK,0.056,0.054,0.019,0.002,2,0.03571429,yes,yes,W,I,I,I,I,I,I,W,I,0.22222222
7/11/23,89,Singleton,LLL,0.038,0.035,0.014,0.003,3,0.07894737,yes,yes,I,I,I,I,I,I,W,W,I,