catalogNumber,eventDate,sex,decimalLatitude,decimalLongitude
UCSB-IZC00046583,2022-06-01,F,34.407598,-119850534
UCSB-IZC00046598,2022-06-01,M,34.407598,-119850534
UCSB-IZC00046025,2022-06-01,M,34.407598,-119850534
UCSB-IZC00046859,2022-06-06,M,34.407598,-119850534
UCSB-IZC00046395,2022-06-06,M,34.407598,-119850534
UCSB-IZC00046582,2022-06-06,M,34.407598,-119850534
UCSB-IZC00045301,2022-06-06,M,34.407598,-119850534
UCSB-IZC00046653,2022-06-06,M,34.407598,-119850534
UCSB-IZC00046062,2022-06-06,M,34.407598,-119850534
UCSB-IZC00046846,2022-06-06,M,34.407598,-119850534
UCSB-IZC00046845,2022-06-06,M,34.407598,-119850534
UCSB-IZC00046836,2022-06-06,M,34.407598,-119850534
UCSB-IZC00046608,2022-06-06,M,34.407598,-119850534
UCSB-IZC00046844,2022-06-06,M,34.407598,-119850534
UCSB-IZC00046857,2022-06-06,M,34.407598,-119850534
UCSB-IZC00046403,2022-06-07,F,34.407598,-119850534
UCSB-IZC00046657,2022-06-07,F,34.407598,-119850534
UCSB-IZC00046343,2022-06-09,F,34.407598,-119850534
UCSB-IZC00046603,2022-06-09,F,34.407598,-119850534
UCSB-IZC00045525,2022-06-09,M,34.407598,-119850534
UCSB-IZC00046484,2022-06-09,M,34.407598,-119850534
UCSB-IZC00045524,2022-06-09,M,34.407598,-119850534
UCSB-IZC00046585,2022-06-09,M,34.407598,-119850534
UCSB-IZC00046466,2022-06-09,M,34.407598,-119850534
UCSB-IZC00046430,2022-06-09,M,34.407598,-119850534
UCSB-IZC00046573,2022-06-09,M,34.407598,-119850534
UCSB-IZC00046354,2022-06-09,M,34.407598,-119850534
UCSB-IZC00046369,2022-06-09,M,34.407598,-119850534
UCSB-IZC00045927,2022-06-09,M,34.407598,-119850534
UCSB-IZC00046629,2022-06-09,M,34.407598,-119850534
UCSB-IZC00045316,2022-06-09,M,34.407598,-119850534
UCSB-IZC00045357,2022-06-09,M,34.407598,-119850534
UCSB-IZC00046813,2022-06-09,M,34.407598,-119850534
UCSB-IZC00046048,2022-06-09,M,34.407598,-119850534
UCSB-IZC00046346,2022-06-09,M,34.407598,-119850534